key,English,Assamese,Bengali,Bhojpuri,Gujarati,Haryanvi,Hindi,Kannada,Malayalam,Marathi,Telugu,Odia,Punjabi,Rajasthani,Tamil,Urdu,
decision_made,Decision made,সিদ্ধান্ত লোৱা হৈছে,সিদ্ধান্ত নেওয়া হয়েছে ,निर्णय लिहल गइल,નિર્ણય લેવાયો,निर्णय लिया गया ,निर्णय लिया गया ,ನಿರ್ಧಾರ ಕೈಗೊಳ್ಳಲಾಗಿದೆ,തീരുമാനമെടുത്തു,निर्णय घेतला,నిర్ణయం తీసుకోబడింది,ନିଷ୍ପତ୍ତି ନିଆଯାଇସାରିଛି,ਫ਼ੈਸਲਾ ਲਿਆ ਗਿਆ  ,निर्णय लियो गयो ,முடிவு எடுக்கப்பட்டது,فیصلہ کرلیا ہے,
decision_made_desc,We’ll notify you about the outcome in your Support inbox as soon as possible.,আমি অতি শীঘ্ৰে আপোনাৰ চাপোৰ্ট ইনবক্সত ইয়াৰ ফলাফলৰ বিষয়ে জনাম,আমরা যত তাড়াতাড়ি সম্ভব আপনার সাপোর্ট ইনবক্সে ফলাফল সম্পর্কে আপনাকে জানাব।,हमनी जा रउवा के जल्द से जल्द राउर सपोर्ट इनबॉक्स में परिणाम के जानकारी दे देब।,અમે શક્ય તેટલી વહેલી તકે તમારા સપોર્ટ ઇનબૉક્સમાં પરિણામ વિશે તમને જાણ કરીશું.,हाम थामनै जल्द तै जल्द थारे सपोर्ट इनबॉक्स मै परिणाम की जानकारी देवैंगे।,हम आपको जल्द से जल्द आपके सपोर्ट इनबॉक्स में परिणाम की जानकारी देंगे।,ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ನಿಮ್ಮ ಸಪೋರ್ಟ್ ಇನ್‌ಬಾಕ್ಸ್‌ನಲ್ಲಿ ಫಲಿತಾಂಶದ ಕುರಿತು ನಾವು ನಿಮಗೆ ತಿಳಿಸುತ್ತೇವೆ., ഞങ്ങൾ നിങ്ങളുടെ ഔട്ട്കം സപ്പോർട്ട് ഇൻബോക്സിൽ ഉടൻ തന്നെ അറിയിക്കും ,आम्‍ही तुमच्‍या सपोर्ट इनबॉक्‍समध्‍ये परिणामांबद्दल लवकरात लवकर सूचित करू.,మేము వీలైనంత త్వరగా మీ సపోర్ట్​ ఇన్‌బాక్స్‌లో రిజల్ట్ గురించి మీకు తెలియజేస్తాము.,ଯଥାଶୀଘ୍ର ଆପଣଙ୍କର ସପୋର୍ଟ ଇନବକ୍ସରେ ନିଷ୍ପତ୍ତି ବାବଦରେ ଆମେ ଆପଣଙ୍କୁ ଜଣାଇବୁ,ਅਸੀਂ ਜਿੰਨੀ ਜਲਦੀ ਹੋ ਸਕੇ ਤੁਹਾਡੇ ਸਪੋਰਟ ਇਨਬਾਕਸ ਵਿੱਚ ਨਤੀਜੇ ਬਾਰੇ ਤੁਹਾਨੂੰ ਸੂਚਿਤ ਕਰਾਂਗੇ।,म्हे आपने जल्द स्यूं जल्द आपरे सपोर्ट इनबॉक्स में परिणाम री जाणकारी देवांगा।,கூடிய விரைவில் உங்கள் சப்போர்ட்  இன்பாக்ஸில் முடிவை உங்களுக்கு அறிவிப்போம்.,ہم آپ کو جلد از جلد آپ کے سپورٹ ان باکس میں نتائج کے بارے میں مطلع کریں گے,
all_done,Done,হৈ গ'ল ,হয়ে গিয়েছে ,कर दिहल गइल,થઈ ગયું,कर दिया गया ,कर दिया गया ,ಮುಗಿದಿದೆ,ഡൺ ,केले आहे,పూర్తయింది,ସରିଲା,ਹੋ ਗਿਆ,कर दियो गयो,முடிந்தது ,ہو گیا,
block_user,Block User,ইউজাৰক ব্লক কৰক,ইউজারকে ব্লক করুন ,यूजर के ब्लॉक करीं,યુઝરને બ્લોક કરો,यूजर नै ब्लॉक करो,यूजर को ब्लॉक करें ,ಯೂಸರ್ ಅನ್ನು ಬ್ಲಾಕ್ ಮಾಡಿ,യൂസറിനെ ബ്ലോക്ക് ചെയ്യൂ,युझरला ब्लॉक करा ,యూజర్​ను బ్లాక్ చేయండి,ୟୁଜରଙ୍କୁ ବ୍ଲକ୍ କରନ୍ତୁ,ਯੂਜ਼ਰ ਨੂੰ ਬਲਾਕ ਕਰੋ,यूजर ने ब्लॉक करो,பயனரை தடை செய் ,یوزر کو بلاک کریں,
block_user_description,They won’t be able to find your profile or Post on ShareChat. ShareChat won’t let them know that you have blocked them.,তেওঁলোকে শ্বেয়াৰচাটত আপোনাৰ প্ৰ'ফাইল বা পোষ্ট চাব নোৱাৰিব। শ্বেয়াৰচাটে এয়া জানিব নিদিয়ে যে আপুনি তেওঁলোকক ব্লক কৰিছে,"
তারা শেয়ারচ্যাটে আপনার প্রোফাইল বা পোস্ট খুঁজে পাবেন না। শেয়ারচ্যাট তাদের জানাবে না যে আপনি তাদের ব্লক করেছেন।
",इ राउर प्रोफाइल या शेयरचैट पे पोस्ट ना ढूंढ पइहें। शेयरचैट ओनकरा के इ ना बताई कि रउवा ओनकरा के ब्लॉक कर दिहले बानी।,તેઓ શેરચેટ પર તમારી પ્રોફાઇલ અથવા પોસ્ટ શોધી શકશે નહીં. શેરચેટ તેમને નહીં જણાવે કે તમે તેમને બ્લોક કર્યા છે.,वे थारी प्रोफाइल या शेयरचैट पै पोस्ट नहीं ढूंढ पावैंगे। शेयरचैट उन्हें यो नहीं बतावैगा के थामनै उन्हें ब्लॉक कर दिया सै।,वे आपकी प्रोफाइल या शेयरचैट पर पोस्ट नहीं ढूंढ पाएंगे। शेयरचैट उन्हें यह नहीं बताएगा कि आपने उन्हें ब्लॉक कर दिया है।,ಅವರು ನಿಮ್ಮ ಪ್ರೊಫೈಲ್ ಅನ್ನು ಹುಡುಕಲು ಅಥವಾ ಶೇರ್‌ಚಾಟ್ ನಲ್ಲಿ ಪೋಸ್ಟ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುವುದಿಲ್ಲ. ನೀವು ಅವರನ್ನು ನಿರ್ಬಂಧಿಸಿರುವಿರಿ ಎಂದು ಶೇರ್‌ಚಾಟ್ ಅವರಿಗೆ ತಿಳಿಸುವುದಿಲ್ಲ.,അവർക്ക് നിങ്ങളുടെ പ്രൊഫൈൽ കണ്ടെത്താനോ ഷെയർചാറ്റിൽ പോസ്റ്റ് ചെയ്യാനോ കഴിയില്ല. നിങ്ങൾ അവരെ ബ്ലോക്ക് ചെയ്തുവെന്ന് ഷെയർചാറ്റ് അവരെ അറിയിക്കില്ല.,ते शेअरचॅटवर तुमची प्रोफाईल किंवा पोस्ट शोधू शकणार नाहीत. शेअरचॅट त्यांना कळू देणार नाही की तुम्ही त्यांना ब्लॉक केले आहे.,"వాళ్లూ షేర్​చాట్​లో మీ ప్రొఫైల్​ను, పోస్ట్​లను గుర్తించలేరు. మీరు వారిని బ్లాక్​ చేసినట్లు కూడా షేర్​చాట్​ వాళ్లకు తెలియనివ్వదు.",ସେମାନେ ଶେୟରଚେଟ୍‌ରେ ଆପଣଙ୍କର ପ୍ରୋଫାଇଲ୍ କିମ୍ବା ପୋଷ୍ଟ ଖୋଜିବାକୁ ସକ୍ଷମ ହେବେ ନାହିଁ। ଏପରିକି ଶେୟରଚେଟ୍ ସେମାନଙ୍କୁ ଜଣାଇବ ନାହିଁ ଯେ ଆପଣ ସେମାନଙ୍କୁ ବ୍ଲକ୍ କରିଛନ୍ତି।,ਉਹ ਸ਼ੇਅਰਚੈਟ 'ਤੇ ਤੁਹਾਡੀ ਪ੍ਰੋਫਾਈਲ ਜਾਂ ਪੋਸਟ ਨੂੰ ਲੱਭ ਨਹੀਂ ਪਾਉਣਗੇ। ਸ਼ੇਅਰਚੈਟ ਉਨ੍ਹਾਂ ਨੂੰ ਇਹ ਨਹੀਂ ਦੱਸੇਗਾ ਕਿ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਬਲੌਕ ਕਰ ਦਿੱਤਾ ਹੈ।,वे आपरी प्रोफाइल या शेयरचैट पे पोस्ट कोनि ढूंढ पाई। शेयरचैट वाने कोनि बतावे कि आप वाने ब्लॉक कर दिया हो।,அவர்களால் உங்கள் ப்ரொபைலை   கண்டறியவோ அல்லது ஷேர்சாட்டில் பதிவிடவோ முடியாது. நீங்கள் அவர்களைத் தடை செய்துள்ளீர்கள்  என்பதை ஷேர்சாட்  அவர்களுக்குத் தெரிவிக்காது.,وہ شیئرچیٹ پر آپ کا پروفائل یا پوسٹ تلاش نہیں کر سکیں گے۔ شیئرچیٹ انہیں یہ نہیں بتائے گا کہ آپ نے انہیں بلاک کر دیا ہے,
allow,Allow,অনুমতি দিয়ক,অনুমতি দিন ,अनुमति दिहीं,પરવાનગી આપો,अनुमति देना,अनुमति देना,ಅನುಮತಿಸಿ,അനുവദിക്കുക ,परवानगी द्या,అనుమతి,ଅନୁମତି ଦିଅନ୍ତୁ,ਇਜਾਜ਼ਤ ਦੇਣਾ ,अनुमति देणो,அனுமதிக்கவும் ,اجازت دیں,
report_stream,Report this live,এই লাইভটোক ৰিপোৰ্ট কৰক,এই লাইভটি রিপোর্ট করুন ,इ लाइव के रिपोर्ट करीं,આ લાઈવને રિપોર્ટ કરો,इस लाइव नै रिपोर्ट करो,इस लाइव को रिपोर्ट करें,ಇದನ್ನು ಲೈವ್ ರಿಪೋರ್ಟ್ ಮಾಡಿ,ഈ ലൈവ് റിപ്പോർട്ട് ചെയ്യൂ ,ह्या लाईव्हला रिपोर्ट करा ,ఈ లైవ్​ను రిపోర్ట్​ చేయండి,ଏହାକୁ ଲାଇଭ୍ ରିପୋର୍ଟ କରନ୍ତୁ,ਇਸ ਦੀ ਲਾਈਵ ਰਿਪੋਰਟ ਕਰੋ,इकी लाइव रिपोर्ट करो,இந்த லைவை புகாரளி ,اس لائیو کو رپورٹ کریں,
reported_stream,Livestream Reported,লাইভষ্ট্ৰীমটোক ৰিপোৰ্ট কৰা হৈছে,লাইভস্ট্রিমটি রিপোর্ট করা হয়েছে,लाइवस्ट्रीम रिपोर्ट कइल गइल बा,લાઇવસ્ટ્રીમને રિપોર્ટ કરાયું,लाइवस्ट्रीम रिपोर्ट करा गया,लाइवस्ट्रीम रिपोर्ट किया गया है ,ಲೈವ್‌ಸ್ಟ್ರೀಮ್ ರಿಪೋರ್ಟ್ ಮಾಡಲಾಗಿದೆ,ലൈവ് സ്ട്രീം റിപ്പോർട്ട് ചെയ്തു ,लाईव्हस्ट्रीम रिपोर्ट केले आहे ,లైవ్​ స్ట్రీమ్ రిపోర్ట్ చేయబడింది,ଲାଇଭଷ୍ଟ୍ରୀମ୍ ରିପୋର୍ଟ ହୋଇଛି,ਲਾਈਵਸਟ੍ਰੀਮ ਦੀ ਰਿਪੋਰਟ ਕੀਤੀ ਗਈ,लाइवस्ट्रीम रिपोर्ट कियो गयो है,லைவ் ஸ்ட்ரீம் புகாரளிக்கப்பட்டது ,لائیو اسٹریم کو رپورٹ کیا گیا ہے,
shut_down_live_stream,Shut Down Live Streaming,লাইভ ষ্ট্ৰীমিং বন্ধ কৰক,লাইভ স্ট্রিমিং বন্ধ করুন ,लाइव स्ट्रीमिंग बंद करीं,લાઈવ સ્ટ્રીમિંગ બંધ કરો,लाइव स्ट्रीमिंग बंद करो,लाइव स्ट्रीमिंग बंद करें,ಲೈವ್ ಸ್ಟ್ರೀಮಿಂಗ್ ಅನ್ನು ಶಟ್ ಡೌನ್ ಮಾಡಿ,ലൈവ് സ്ട്രീമിംഗ് ഷട്ട് ഡൗൺ ചെയ്യൂ,लाईव्हस्ट्रीमिंग बंद करा ,లైవ్ స్ట్రీమింగ్​ షట్​ డౌన్ చేయండి,ଲାଇଭ୍ ଷ୍ଟ୍ରୀମିଂ ବନ୍ଦ କରନ୍ତୁ,ਲਾਈਵ ਸਟ੍ਰੀਮਿੰਗ ਬੰਦ ਕਰੋ,लाइव स्ट्रीमिंग बंद करो,லைவ் ஸ்ட்ரீமிங்கை மூடவும் ,لائیو سٹریمنگ بند کریں,
shut_down_stream,Shut Down the live stream,লাইভ ষ্ট্ৰীম বন্ধ কৰক,লাইভ স্ট্রিম বন্ধ করুন ,लाइव स्ट्रीम बंद करीं,લાઇવ સ્ટ્રીમ બંધ કરો,लाइव स्ट्रीम बंद करो,लाइव स्ट्रीम बंद करें,"
ಲೈವ್ ಸ್ಟ್ರೀಮ್ ಅನ್ನು ಶಟ್ ಡೌನ್ ಮಾಡಿ", ലൈവ് സ്ട്രീം ഷട്ട് ഡൗൺ ചെയ്യൂ,लाईव्हस्ट्रीमिंग बंद करा ,లైవ్ స్ట్రీమ్​ షట్​ డౌన్ చేయండి,ଲାଇଭ୍ ଷ୍ଟ୍ରୀମ୍ ବନ୍ଦ କରନ୍ତୁ,ਲਾਈਵ ਸਟ੍ਰੀਮ ਨੂੰ ਬੰਦ ਕਰੋ,लाइव स्ट्रीम बंद करो,லைவ் ஸ்ட்ரீமிங்கை மூடவும் ,لائیو سٹریم بند کر دیں,
choose_to_share,Select app to Share ,শ্বেয়াৰ কৰিবলৈ এপ বাছনি কৰক,শেয়ার করার জন্য অ্যাপ সিলেক্ট করুন ,शेयर करे खातिर ऐप चुनीं,શેર કરવા માટે એપ્લિકેશન પસંદ કરો,शेयर करण खात्तर एप्प चुणओ,शेयर करने के लिए ऐप चुनें,ಶೇರ್ ಮಾಡಲು ಆ್ಯಪ್ ಆಯ್ಕೆಮಾಡಿ,ഷെയർ ചെയ്യാൻ ആപ്പ് സെലക്ട് ചെയ്യൂ,शेअर करण्यासाठी ॲप निवडा,షేర్ చేసేందుకు యాప్ ఎంపిక చేసుకోండి,ଶେୟର କରିବା ପାଇଁ ଆପ୍ ବାଛନ୍ତୁ,ਸ਼ੇਅਰ ਕਰਨ ਲਈ ਐਪ ਚੁਣੋ,शेयर करबा खातिर ऐप चुणो,பகிர ஆப்பைத் தேர்ந்தெடுக்கவும் ,شیئر کرنے کے لیے ایپ منتخب کریں,
application_not_found,No application found to handle this type of action,এই ধৰণৰ কাম হেণ্ডেল কৰিবলৈ কোনো এপ্লিকেচন পোৱা নগ'ল,এই ধরনের অ্যাকশন পরিচালনা করার জন্য কোনো অ্যাপ্লিকেশান পাওয়া যায়নি৷,इ तरह के कार्रवाई के संभाले खातिर कवनो एप्लिकेशन ना मिलल,આ પ્રકારના એક્શનને હેન્ડલ કરવા માટે કોઈ એપ્લિકેશન મળી નથી,इस तरह की कार्रवाई संभालण खात्तर कोए एप्लिकेशन नहीं मिला,इस तरह की कार्रवाई को संभालने के लिए कोई एप्लिकेशन नहीं मिला,ಈ ರೀತಿಯ ಆ್ಯಕ್ಷನ್ ಹ್ಯಾಂಡಲ್ ಮಾಡಲು ಯಾವುದೇ ಆ್ಯಪ್ ಕಂಡುಬಂದಿಲ್ಲ,ഇത്തരത്തിലുള്ള പ്രവർത്തനം കൈകാര്യം ചെയ്യാൻ ഒരു ആപ്ലിക്കേഷനും കണ്ടെത്താനായില്ല.,या प्रकारची ॲक्शन हाताळण्यासाठी कोणतेही ॲप्लिकेशन आढळले नाही,ఈ విధమైన యాక్షన్​ను హ్యాండిల్​ చేసేందుకు ఎలాంటి అప్లికేషన్ లేదు,ଏହି ଆକ୍ସନ୍‌କୁ କାମରେ ଲଗାଇବା ପାଇଁ କୌଣସି ଆପ୍ଲିକେସନ୍ ମିଳିଲା ନାହିଁ,ਇਸ ਕਿਸਮ ਦੀ ਕਾਰਵਾਈ ਨੂੰ ਸੰਭਾਲਣ ਲਈ ਕੋਈ ਐਪਲੀਕੇਸ਼ਨ ਨਹੀਂ ਮਿਲੀ,इ तरह री कार्रवाई ने संभालबा खातिर कोई एप्लिकेशन कोनि मिळी,இந்த வகையான செயலைக் கையாள எந்தப் பயன்பாடும் இல்லை,اس قسم کی کارروائی کو ہینڈل کرنے کے لیے کوئی ایپلیکیشن نہیں ملی,
shut_down_live_stream_description,Stream will end and doing so you will be baning the creator to go live on ShareChat.,ষ্ট্ৰীম শেষ হ'ব আৰু ইয়াৰ পিছত আপুনি ক্ৰিয়েটৰক শ্বেয়াৰচাটত লাইভ হোৱাত বেন কৰিব,স্ট্রিম শেষ হয়ে যাবে আর এরকম করার জন্য আপনার ক্রিয়েটররা শেয়ারচ্যাটে লাইভ করার সুযোগ থেকে বঞ্চিত হবেন ,स्ट्रीम खत्म हो जाई अउर अइसन कइला पे रउवा क्रिएटर के शेयरचैट पे लाइव होखला से बैन कर देब।,સ્ટ્રીમ પૂરું થઈ જશે અને આમ કરવાથી તમે ક્રિએટર્સને શેરચેટ પર લાઇવ થવાથી પ્રતિબંધિત કરશો.,स्ट्रीम खत्म हो जावैगी और ऐसा करण पै थाम क्रिएटर नै शेयरचैट पै लाइव होण तै बैन कर दोगे।,स्ट्रीम खत्म हो जाएगी और ऐसा करने पर आप क्रिएटर को शेयरचैट पर लाइव होने से बैन कर देंगे।,ಸ್ಟ್ರೀಮ್ ಕೊನೆಗೊಳ್ಳುತ್ತದೆ ಮತ್ತು ಹಾಗೆ ಮಾಡುವುದರಿಂದ ನೀವು ಶೇರ್‌ಚಾಟ್‌ನಲ್ಲಿ ಲೈವ್ ಮಾಡಲು ಕ್ರಿಯೇಟರ್ಸ್ ಅನ್ನು ನಿಷೇಧಿಸುತ್ತೀರಿ.,"ഷെയർചാറ്റിൽ സ്ട്രീമിങ് അവസാനിക്കുകയും, ക്രിയേറ്ററെ ലൈവ് പോകുന്നതിൽ നിന്ന് വിലക്കുകയും ചെയ്യും!",स्ट्रीम संपेल आणि असे केल्याने तुम्ही क्रिएटरला शेअरचॅटवर लाईव्ह जाण्यापासून बॅन कराल.,స్ట్రీమ్ ముగుస్తుంది మరియు అలా చేయడం ద్వారా మీరు షేర్​చాట్​లో లైవ్​కు వెళ్లకుండా క్రియేటర్​ను నిషేధిస్తారు.,ଷ୍ଟ୍ରୀମ୍ ସରିଯିବ ଏବଂ ଏପରି କରିବା ଦ୍ୱାରା ଆପଣ କ୍ରିଏଟରଙ୍କୁ ଶେୟରଚେଟ୍‌ରେ ଲାଇଭ୍ ଯିବାରେ ବ୍ୟାନ୍‌ କରିଦେବେ,ਸਟ੍ਰੀਮ ਖ਼ਤਮ ਹੋ ਜਾਵੇਗੀ ਅਤੇ ਅਜਿਹਾ ਕਰਨ ਨਾਲ ਤੁਸੀਂ ਕ੍ਰੀਏਟਰ ਨੂੰ ਸ਼ੇਅਰਚੈਟ 'ਤੇ ਲਾਈਵ ਹੋਣ ਤੋਂ ਬੈਨ ਲਗਾਓਗੇ।,स्ट्रीम खत्म हो जावेगी और इसो करबा पे आप क्रिएटर ने शेयरचैट पे लाइव होबा स्यूं बैन कर दोगा।,"ஸ்ட்ரீம் முடிவடையும், அப்படி செய்தால் கிரியேட்டர்கள் ஷேர்சாட் லைவ் செல்ல தடை செய்யப்படும்",اسٹریم ختم ہو جائے گی اور ایسا کرنے سے آپ شیئرچیٹ میں کریئٹر پر لائیو جانے پر پابندی لگا دیں گے,
all_shut_down,Shut Down,বন্ধ কৰক,বন্ধ করুন ,शट डाउन,બંધ કરો,शट डाउन,शट डाउन,ಶಟ್ ಡೌನ್,ഷട്ട് ഡൗൺ,शट डाऊन,షట్ డౌన్​,ଶଟ୍‌ ଡାଉନ୍,ਸ਼ਟ ਡਾਉਨ,शट डाउन,முடிக்கவும்,بند کریں,
enable_camera_for_access,Please enable the camera first,অনুগ্ৰহ কৰি প্ৰথমে কেমেৰা সক্ষম কৰক,প্রথমে আপনার ক্যামেরা চালু করুন ,कृपया पहिले कैमरा के परमिशन दिहीं,કૃપા કરીને પહેલા કેમેરો શરું કરો,कृपया पहलै कैमरा इनेबल करै,कृपया पहले कैमरा इनेबल करें,ದಯವಿಟ್ಟು ಮೊದಲು ಕ್ಯಾಮರಾವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,ആദ്യം ക്യാമറ പ്രവർത്തനക്ഷമമാക്കുക,कृपया प्रथम कॅमेरा एनेबल करा,దయచేసి కెమెరాను ఎనెబుల్​ చేయండి,ଦୟାକରି ପ୍ରଥମେ କ୍ୟାମେରା ଏନାବଲ୍ କରନ୍ତୁ,ਕਿਰਪਾ ਕਰਕੇ ਪਹਿਲਾਂ ਕੈਮਰਾ ਚਾਲੂ ਕਰੋ,कृपया पहल्यां कैमरा ने इनेबल करो,முதலில் கேமராவை ஆன் செய்யவும்,براہ مہربانی پہلے کیمرے کو فعال کریں,
tooltip_settings,Change the settings for your live stream here,আপোনাৰ লাইভ ষ্ট্ৰীমৰ বাবে ইয়াত চেটিংছ সলনি কৰক,লাইভ স্ট্রিমের সেটিংস বদল করুন ,इहां आपन लाइव स्ट्रीम के सेटिंग बदलीं,તમારા લાઇવ સ્ટ્રીમ માટેની સેટિંગ્સ અહીંથી બદલો,यहां आपणी लाइव स्ट्रीम की सेटिंग बदलो,यहां अपनी लाइव स्ट्रीम की सेटिंग बदलें,ನಿಮ್ಮ ಲೈವ್ ಸ್ಟ್ರೀಮ್‌ಗಾಗಿ ಸೆಟ್ಟಿಂಗ್ಸ್ ಅನ್ನು ಇಲ್ಲಿ ಬದಲಾಯಿಸಿ,നിങ്ങളുടെ ലൈവ് സ്ട്രീമിനായുള്ള സെറ്റിങ്‌സ്  ഇവിടെ മാറ്റൂ,येथे तुमची लाईव्हस्ट्रीमची सेटिंग बदला,మీ లైవ్​ స్ట్రీమ్​కు ఇక్కడ సెట్టింగ్స్​ ఛేంజ్​ చేయండి,ଏଠାରେ ଆପଣଙ୍କର ଲାଇଭ୍ ଷ୍ଟ୍ରୀମ୍ ପାଇଁ ସେଟିଙ୍ଗ ପରିବର୍ତ୍ତନ କରନ୍ତୁ,ਇੱਥੇ ਆਪਣੀ ਲਾਈਵ ਸਟ੍ਰੀਮ ਲਈ ਸੈਟਿੰਗ ਬਦਲੋ,अठे आपरी लाइव स्ट्रीम री सेटिंग बदलो,உங்கள் லைவ் ஸ்ட்ரீமிற்கான செட்டிங்ஸை இங்கே மாற்றவும்,اپنی لائیو اسٹریم کی سیٹنگز کو یہاں تبدیل کریں,
settings_comments,Comments,কমেণ্ট,কমেন্ট ,कमेंट्स ,કમેન્ટ્સ,कमेंट्स ,कमेंट्स ,ಕಾಮೆಂಟ್‌ಗಳು,കമന്റ്സ്  ,कमेंट्स,కామెంట్స్​,କମେଣ୍ଟ,ਕਮੈਂਟਸ,कमेंट्स,கமெண்ட்,کمنٹس,
settings_live_requests,Live Requests,লাইভ ৰিকুৱেষ্ট,লাইভ রিক্যুয়েস্ট ,लाइव रिक्वेस्ट्स,લાઇવ રિક્વે્સ્ટ્સ,लाइव रिक्वेस्ट्स,लाइव रिक्वेस्ट्स,ಲೈವ್ ರಿಕ್ವೆಸ್ಟ್ ಗಳು,ലൈവ് റിക്വസ്റ്റ്സ്,लाईव्ह रिक्वेस्ट्स,లైవ్​ రిక్వెస్ట్​లు,ଲାଇଭ୍ ରିକ୍ବେଷ୍ଟ,ਲਾਈਵ ਰਿਕੁਐਸਟ ,लाइव रिक्वेस्ट्स,லைவ் ரிக்குவஸ்ட் ,لائیو ریکویسٹس,
tnc_title,Terms &amp; Conditions,নিয়ম &amp; চৰ্তাৱলী,নিয়ম  &amp; শর্তাবলী ,नियम &amp; शर्त,શરતો &amp; શરતો,नियम &amp; शर्तें ,नियम &amp; शर्तें ,ನಿಯಮಗಳು &amp; ಷರತ್ತುಗಳು, ടേംസ് &amp; കണ്ടീഷൻ,नियम &amp; अटी ,నిబధనలు &amp; షరత్తులు,ନିୟମ &amp; ସର୍ତ୍ତାବଳୀ,ਨਿਯਮ &amp; ਸ਼ਰਤਾਂ ,नियम &amp; शर्तां,விதிமுறை &amp; நிபந்தனைகள்,شرائط و ضوابط,
